East;North;RSS;Time;Accelerometer X ;Accelerometer Y ;Accelerometer Z ;Sunload;Lane;Receiver  Angle;Distance;Turbulence;Transmit Power Ref;Path Loss
2904.5815;4112.5532;-50.35862732;15:10:40.884;-0.01171875;0.0078125;1.0546875;0.366210975;3;30;17.24423388;0;4.168313503;54.52694082
2904.5815;4112.5532;-49.36602783;15:10:41.884;-0.00390625;0.0234375;0.9453125;0.371093788;3;30;17.24423388;0;4.168313503;53.53434133
2904.5815;4112.5557;-36.17600632;15:11:08.883;0.0078125;0.05859375;1.01953125;0.371093788;3;30;12.61442539;1;4.168313503;40.34431982
2904.5815;4112.5557;-36.84397507;15:11:09.883;-0.01171875;0.015625;0.93359375;0.371093788;3;30;12.61442539;1;4.168313503;41.01228857
2904.5815;4112.5537;-51.91375732;15:11:54.884;0.03515625;0;0.98046875;0.375976601;3;30;16.31812171;0;4.168313503;56.08207082
2904.5815;4112.5537;-50.91235352;15:11:55.884;0.04296875;0.0234375;0.97265625;0.380859414;3;30;16.31812171;0;4.168313503;55.08066702
2904.5815;4112.5615;-3.624199629;15:03:45.667;0.0078125;0.0078125;0.94921875;0.375976601;2;30;1.935340683;1;4.168313503;7.792513132
2904.5815;4112.5615;-7.178998947;15:03:46.667;-0.0078125;0.078125;1.0234375;0.375976601;2;30;1.935340683;1;4.168313503;11.34731245
2904.5815;4112.5645;-25.02678871;15:05:13.667;0.01171875;0.015625;0.98046875;0.371093788;2;30;3.748217765;1;4.168313503;29.19510221
2904.5815;4112.5645;-21.65079117;15:05:14.667;-0.015625;0.03515625;0.94921875;0.371093788;2;30;3.748217765;1;4.168313503;25.81910467
2904.5815;4112.5649;-17.40021515;15:05:15.667;0.0078125;0.0390625;0.9609375;0.375976601;2;30;4.482623227;1;4.168313503;21.56852865
2904.5815;4112.5649;-12.00677395;15:05:16.666;-0.0234375;0.0234375;0.91015625;0.371093788;2;30;4.482623227;1;4.168313503;16.17508745
2904.5815;4112.5649;-6.322201729;15:05:17.666;0.015625;0.0546875;0.98046875;0.375976601;2;30;4.482623227;1;4.168313503;10.49051523
2904.5815;4112.5649;-2.137196064;15:05:18.666;-0.015625;0.1015625;0.97265625;0.366210975;2;30;4.482623227;1;4.168313503;6.305509567
2904.5815;4112.5645;1.501076102;15:05:19.666;0.015625;0.0390625;0.9765625;0.371093788;2;30;3.748217765;1;4.168313503;2.667237401
2904.5815;4112.5645;3.068872213;15:05:20.666;-0.0078125;0.08984375;0.9765625;0.366210975;2;30;3.748217765;1;4.168313503;1.09944129
2904.5815;4112.564;3.022413731;15:05:21.666;0.0078125;0.07421875;0.98046875;0.371093788;2;30;2.83526139;1;4.168313503;1.145899772
2904.5815;4112.564;3.026336908;15:05:22.666;0.015625;0.04296875;0.98046875;0.371093788;2;30;2.83526139;1;4.168313503;1.141976595
2904.5815;4112.5645;-29.56959534;15:06:49.767;0.0078125;0.0390625;0.9765625;0.375976601;2;30;3.748217765;1;4.168313503;33.73790884
2904.5815;4112.5645;-26.45744705;15:06:50.767;0;0.0546875;0.984375;0.371093788;2;30;3.748217765;1;4.168313503;30.62576055
2904.5815;4112.5649;-22.64061737;15:06:51.767;0.0078125;0.046875;0.9765625;0.375976601;2;30;4.482623227;1;4.168313503;26.80893087
2904.5815;4112.5649;-18.00224686;15:06:52.768;0.0390625;0.0546875;1.02734375;0.375976601;2;30;4.482623227;1;4.168313503;22.17056036
2904.5815;4112.5649;-12.41343403;15:06:53.768;0.015625;0.08203125;0.9921875;0.371093788;2;30;4.482623227;1;4.168313503;16.58174753
2904.5815;4112.5645;-4.427170753;14:57:48.178;0.03125;0.02734375;0.984375;0.371093788;2;30;3.748217765;1;4.168313503;8.595484256
2904.5815;4112.5645;-4.341708183;14:57:49.178;0;0.0390625;0.98046875;0.371093788;2;30;3.748217765;1;4.168313503;8.510021686
2904.5815;4112.564;-4.332591057;14:57:50.178;-0.00390625;0.03125;0.99609375;0.371093788;2;30;2.83526139;1;4.168313503;8.50090456
2904.5815;4112.564;-4.331956863;14:57:51.179;0.02734375;0.03515625;0.9765625;0.375976601;2;30;2.83526139;1;4.168313503;8.500270366
2904.5815;4112.5645;-28.44033623;15:02:46.085;0.01171875;0.015625;0.9609375;0.375976601;2;30;3.748217765;1;4.168313503;32.60864973
2904.5815;4112.5645;-24.50848579;15:02:47.085;-0.015625;0.0390625;0.97265625;0.375976601;2;30;3.748217765;1;4.168313503;28.67679929
2904.5815;4112.5645;-19.4278698;15:02:48.086;0;0.05078125;0.96484375;0.375976601;2;30;3.748217765;1;4.168313503;23.5961833
2904.5815;4112.5645;-13.35740662;15:02:49.086;-0.01171875;0.05859375;0.98046875;0.380859414;2;30;3.748217765;1;4.168313503;17.52572012
2904.5815;4112.5645;-7.229538918;15:02:50.086;0.03515625;0.0859375;0.984375;0.380859414;2;30;3.748217765;1;4.168313503;11.39785242
2904.5815;4112.5635;-34.86628723;14:52:00.585;-0.00390625;0.046875;0.953125;0.39062504;2;0;1.935340642;1;4.168313503;39.03460073
2904.5815;4112.5635;-31.80049324;14:52:01.586;-0.0234375;0.02734375;0.96484375;0.39062504;2;0;1.935340642;1;4.168313503;35.96880674
2904.5815;4112.5645;-28.15254593;14:52:02.586;0.015625;0.02734375;0.98828125;0.39062504;2;0;3.748217765;1;4.168313503;32.32085943
2904.5815;4112.5645;-24.13441467;14:52:03.586;-0.015625;0.0703125;0.984375;0.385742227;2;0;3.748217765;1;4.168313503;28.30272817
2904.5815;4112.5645;-19.59958839;14:52:04.586;0.0234375;0.06640625;1.02734375;0.385742227;2;0;3.748217765;1;4.168313503;23.76790189
2904.5815;4112.5645;-15.1753931;14:52:05.586;0.0390625;0.05859375;0.96875;0.39062504;2;0;3.748217765;1;4.168313503;19.3437066
2904.5815;4112.5645;-11.1031189;14:52:06.586;0.01953125;0.07421875;1.0078125;0.39062504;2;0;3.748217765;1;4.168313503;15.2714324
2904.5815;4112.5645;-7.118181229;14:52:07.586;0.015625;0.078125;0.99609375;0.39062504;2;0;3.748217765;1;4.168313503;11.28649473
2904.5813;4112.5479;-44.59949875;15:08:42.537;0.0078125;0.0078125;1.03515625;0.361328162;3;30;27.05886893;1;4.168313503;48.76781225
2904.5813;4112.5479;-45.61568069;15:08:43.537;0.0625;0.0234375;0.92578125;0.361328162;3;30;27.05886893;1;4.168313503;49.78399419
2904.5813;4112.5498;-50.70181656;15:09:18.537;0.0078125;0.05078125;0.96484375;0.361328162;3;30;23.53791119;0;4.168313503;54.87013006
2904.5813;4112.5498;-50.30114746;15:09:19.537;0.0078125;0.01953125;0.96875;0.366210975;3;30;23.53791119;0;4.168313503;54.46946096
2904.5813;4112.5522;-37.43979263;15:09:58.536;0.03515625;-0.00390625;1.078125;0.366210975;3;30;19.09049896;1;4.168313503;41.60810613
2904.5813;4112.5522;-38.99088669;15:09:59.536;-0.03515625;-0.03125;0.99609375;0.361328162;3;30;19.09049896;1;4.168313503;43.15920019
2904.5813;4112.5537;-37.62508011;15:11:10.883;0.0390625;0.05078125;1.0078125;0.375976601;3;30;16.31097288;1;4.168313503;41.79339361
2904.5813;4112.5537;-38.42383194;15:11:11.883;0.00390625;0.0234375;0.9765625;0.371093788;3;30;16.31097288;1;4.168313503;42.59214544
2904.5813;4112.5596;-11.988307;15:03:47.667;0.02734375;0.0546875;0.9609375;0.371093788;2;30;5.381650224;1;4.168313503;16.1566205
2904.5813;4112.5596;-16.35172653;15:03:48.667;0.01953125;0.0234375;0.9765625;0.371093788;2;30;5.381650224;1;4.168313503;20.52004003
2904.5813;4112.562;-34.59344482;15:05:09.667;0.05859375;0.0625;0.9765625;0.371093788;2;30;0.967670337;0;4.168313503;38.76175832
2904.5813;4112.562;-32.53356171;15:05:10.667;0.02734375;0.0390625;1.00390625;0.371093788;2;30;0.967670337;0;4.168313503;36.70187521
2904.5813;4112.5635;-30.25449562;15:05:11.667;0;0.0625;0.9765625;0.371093788;2;30;1.874108888;1;4.168313503;34.42280912
2904.5813;4112.5635;-27.86099243;15:05:12.667;0.01953125;0.0625;0.98046875;0.371093788;2;30;1.874108888;1;4.168313503;32.02930593
2904.5813;4112.563;3.029879093;15:05:23.666;-0.01171875;0.0546875;0.9765625;0.366210975;2;30;0.967670326;1;4.168313503;1.13843441
2904.5813;4112.563;2.82191062;15:05:24.666;0.015625;0.04296875;0.9765625;0.366210975;2;30;0.967670326;1;4.168313503;1.346402883
2904.5813;4112.562;-38.77179718;15:06:45.767;0.1015625;0.03515625;1.015625;0.371093788;2;30;0.967670337;0;4.168313503;42.94011068
2904.5813;4112.562;-36.96365356;15:06:46.767;-0.015625;0.0234375;1.00390625;0.371093788;2;30;0.967670337;0;4.168313503;41.13196706
2904.5813;4112.5635;-34.82525635;15:06:47.767;0.015625;0.015625;1.00390625;0.371093788;2;30;1.874108888;1;4.168313503;38.99356985
2904.5813;4112.5635;-32.40354538;15:06:48.767;-0.0234375;0.04296875;0.97265625;0.375976601;2;30;1.874108888;1;4.168313503;36.57185888
2904.5813;4112.563;-4.070215225;14:57:52.179;-0.0078125;0.05078125;0.97265625;0.371093788;2;30;0.967670326;1;4.168313503;8.238528728
2904.5813;4112.563;-3.922515154;14:57:53.179;0.01171875;0.03125;0.98046875;0.371093788;2;30;0.967670326;1;4.168313503;8.090828657
2904.5813;4112.564;-28.94538689;14:59:12.178;-0.0390625;0.0546875;0.9765625;0.371093788;2;30;2.79382317;1;4.168313503;33.11370039
2904.5813;4112.564;-26.07349205;14:59:13.178;0.0703125;0.05078125;0.98046875;0.371093788;2;30;2.79382317;1;4.168313503;30.24180555
2904.5813;4112.5649;-22.47231674;14:59:14.178;0.01171875;0.03515625;0.96484375;0.371093788;2;30;4.456529121;1;4.168313503;26.64063024
2904.5813;4112.5649;-18.12841988;14:59:15.178;-0.00390625;0.04296875;1.01171875;0.371093788;2;30;4.456529121;1;4.168313503;22.29673338
2904.5813;4112.5649;-13.24427986;14:59:16.178;-0.0234375;0.04296875;1.00390625;0.371093788;2;30;4.456529121;1;4.168313503;17.41259336
2904.5813;4112.5649;-8.093416214;14:59:17.178;0.01171875;0.05859375;1.0078125;0.371093788;2;30;4.456529121;1;4.168313503;12.26172972
2904.5813;4112.5649;-2.765943527;14:59:18.179;0.0078125;0.0625;0.99609375;0.371093788;2;30;4.456529121;1;4.168313503;6.93425703
2904.5813;4112.5649;1.810452104;14:59:19.179;-0.01953125;0.0625;0.9765625;0.366210975;2;30;4.456529121;1;4.168313503;2.357861399
2904.5813;4112.5649;3.957270622;14:59:20.179;0.01171875;0.06640625;0.9765625;0.361328162;2;30;4.456529121;1;4.168313503;0.211042881
2904.5813;4112.5649;3.96924758;14:59:21.179;0.00390625;0.07421875;0.98828125;0.361328162;2;30;4.456529121;1;4.168313503;0.199065923
2904.5813;4112.564;4.003831863;14:59:22.179;-0.01171875;0.0546875;0.9609375;0.366210975;2;30;2.79382317;1;4.168313503;0.16448164
2904.5813;4112.564;4.107051373;14:59:23.179;0.03125;0.04296875;0.99609375;0.361328162;2;30;2.79382317;1;4.168313503;0.06126213
2904.5813;4112.5645;-23.46640778;15:01:06.035;0.00390625;0.0234375;1.01953125;0.366210975;2;30;3.716971508;1;4.168313503;27.63472128
2904.5813;4112.5645;-19.22784233;15:01:07.035;0;0.03515625;0.984375;0.366210975;2;30;3.716971508;1;4.168313503;23.39615583
2904.5813;4112.5645;-14.03674603;15:01:08.035;0.00390625;0.07421875;0.9765625;0.366210975;2;30;3.716971508;1;4.168313503;18.20505953
2904.5813;4112.5645;-8.487318039;15:01:09.035;-0.00390625;0.0625;0.95703125;0.371093788;2;30;3.716971508;1;4.168313503;12.65563154
